"target","point_estimate","boot_mean","ci_lower_95","ci_upper_95","n_boot"
"belief_concern",0.2059,0.2059,0.1832,0.2278,1000
"harm_present",0.1951,0.1954,0.1613,0.2288,1000
"harm_future",0.1322,0.1323,0.1104,0.1554,1000
"weather_risk_prep",0.0928,0.0925,0.0589,0.1257,1000
"social_norms",0.0571,0.0566,0.0218,0.092,1000
"trust_science",0.0342,0.0339,0.0135,0.056,1000
"policy_support",0.0162,0.0162,0.0053,0.0293,1000
"politics",0.1109,0.1109,0.0942,0.1269,1000
"belief_concern+weather_risk_prep",0.2552,0.255,0.2246,0.2854,1000
"harm_present+weather_risk_prep+social_norms",0.3054,0.305,0.2715,0.3375,1000
