"node","ate","outcome"
"belief_concern",0.2099,"mitig4"
"harm_present",0.1961,"mitig4"
"weather_risk_prep",0.0679,"mitig4"
"social_norms",0.0705,"mitig4"
"trust_science",0.0486,"mitig4"
"policy_support",0,"mitig4"
"belief_concern",0.1145,"evacuate"
"harm_present",0.0938,"evacuate"
"weather_risk_prep",0.132,"evacuate"
"social_norms",0.0389,"evacuate"
"trust_science",0.0269,"evacuate"
"policy_support",0,"evacuate"
"belief_concern",0.0939,"move"
"harm_present",0.0983,"move"
"weather_risk_prep",0.0596,"move"
"social_norms",0.0093,"move"
"trust_science",0.0064,"move"
"policy_support",0,"move"
