"alpha","boot_id","node","n_mags_b","n_zero","n_positive","n_negative","n_unidentified","any_positive","any_negative","all_zero","all_positive","any_unidentified","min_positive","max_positive"
"0.01",240,"belief_concern",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.211650051627087,0.211650051627087
"0.01",240,"harm_future",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",240,"harm_present",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.213326143361067,0.213326143361067
"0.01",240,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",240,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",240,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",240,"trust_science",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",240,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",241,"belief_concern",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.253807533577383,0.253807533577383
"0.01",241,"harm_future",4,2,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,0.0785136824599292,0.0785136824599292
"0.01",241,"harm_present",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.15385439233482,0.166851333903175
"0.01",241,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",241,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",241,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",241,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",241,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"harm_present",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",243,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",245,"belief_concern",6,0,6,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.261717723331795,0.261717723331795
"0.01",245,"harm_future",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",245,"harm_present",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",245,"policy_support",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",245,"politics",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",245,"social_norms",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",245,"trust_science",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",245,"weather_risk_prep",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",246,"belief_concern",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",246,"harm_future",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",246,"harm_present",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.264303374660113,0.264303374660113
"0.01",246,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",246,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",246,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",246,"trust_science",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",246,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",247,"belief_concern",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.235394465839769,0.235394465839769
"0.01",247,"harm_future",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",247,"harm_present",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.160594573378229,0.160594573378229
"0.01",247,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",247,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",247,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",247,"trust_science",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.178769558625166,0.178769558625166
"0.01",247,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",248,"belief_concern",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.159828127480608,0.159828127480608
"0.01",248,"harm_future",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.0828039543254931,0.0828039543254931
"0.01",248,"harm_present",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.177732109878306,0.177732109878306
"0.01",248,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",248,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",248,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",248,"trust_science",2,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",248,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",249,"belief_concern",6,0,6,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.269509384585851,0.269509384585851
"0.01",249,"harm_future",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",249,"harm_present",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",249,"policy_support",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",249,"politics",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",249,"social_norms",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",249,"trust_science",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",249,"weather_risk_prep",6,6,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",250,"belief_concern",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.181129986432784,0.208619726393604
"0.01",250,"harm_future",4,2,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",250,"harm_present",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.196623410466008,0.196623410466008
"0.01",250,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",250,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",250,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",250,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",250,"weather_risk_prep",4,0,2,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,0.10090288187491,0.10090288187491
"0.01",251,"belief_concern",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",251,"harm_future",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",251,"harm_present",16,0,16,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.233078759387238,0.260566134533027
"0.01",251,"policy_support",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",251,"politics",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",251,"social_norms",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",251,"trust_science",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",251,"weather_risk_prep",16,8,0,0,8,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",252,"belief_concern",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",252,"harm_future",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",252,"harm_present",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",252,"policy_support",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",252,"politics",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",252,"social_norms",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",252,"trust_science",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",252,"weather_risk_prep",3,3,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"belief_concern",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"harm_future",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"harm_present",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"policy_support",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"politics",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"social_norms",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"trust_science",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",253,"weather_risk_prep",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",254,"belief_concern",12,0,12,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.280256220299355,0.280256220299355
"0.01",254,"harm_future",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",254,"harm_present",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",254,"policy_support",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",254,"politics",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",254,"social_norms",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",254,"trust_science",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",254,"weather_risk_prep",12,12,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",255,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",256,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",256,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",256,"harm_present",4,2,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",256,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",256,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",256,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",256,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",256,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",257,"belief_concern",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",257,"harm_future",62,56,0,0,6,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",257,"harm_present",62,16,22,0,24,TRUE,FALSE,FALSE,FALSE,TRUE,0.241201105058115,0.278288373654406
"0.01",257,"policy_support",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",257,"politics",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",257,"social_norms",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",257,"trust_science",62,62,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",257,"weather_risk_prep",62,22,14,0,26,TRUE,FALSE,FALSE,FALSE,TRUE,0.0703370876698831,0.0703370876698831
"0.01",258,"belief_concern",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",258,"harm_future",15,12,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",258,"harm_present",15,4,7,0,4,TRUE,FALSE,FALSE,FALSE,TRUE,0.265427066391673,0.27524974970804
"0.01",258,"policy_support",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",258,"politics",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",258,"social_norms",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",258,"trust_science",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",258,"weather_risk_prep",15,15,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"belief_concern",24,24,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"harm_future",24,24,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"harm_present",24,24,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"policy_support",24,24,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"politics",24,24,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"social_norms",24,24,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"trust_science",24,24,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",259,"weather_risk_prep",24,12,0,0,12,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",260,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",260,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",260,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",260,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",260,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",260,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",260,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",260,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"belief_concern",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"harm_future",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"harm_present",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"policy_support",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"politics",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"social_norms",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"trust_science",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",261,"weather_risk_prep",18,18,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"belief_concern",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"harm_future",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"harm_present",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"policy_support",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"politics",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"social_norms",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"trust_science",16,16,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",262,"weather_risk_prep",16,8,0,0,8,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",263,"belief_concern",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.256248941769519,0.256248941769519
"0.01",263,"harm_future",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",263,"harm_present",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",263,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",263,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",263,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",263,"trust_science",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",263,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",264,"belief_concern",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.234138197038933,0.234138197038933
"0.01",264,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",264,"harm_present",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.213914270209702,0.213914270209702
"0.01",264,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",264,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",264,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",264,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",264,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",265,"belief_concern",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.235022120090241,0.235022120090241
"0.01",265,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",265,"harm_present",2,0,2,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.175222148941182,0.175222148941182
"0.01",265,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",265,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",265,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",265,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",265,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"harm_present",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",266,"weather_risk_prep",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.22052765532111,0.22052765532111
"0.01",267,"belief_concern",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",267,"harm_future",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",267,"harm_present",4,0,4,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.281573041661798,0.281573041661798
"0.01",267,"policy_support",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",267,"politics",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",267,"social_norms",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",267,"trust_science",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",267,"weather_risk_prep",4,4,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",268,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",269,"belief_concern",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.162968123656471,0.162968123656471
"0.01",269,"harm_future",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.0546564954844461,0.0546564954844461
"0.01",269,"harm_present",1,0,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,0.186829963773604,0.186829963773604
"0.01",269,"policy_support",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",269,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",269,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",269,"trust_science",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",269,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"belief_concern",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"harm_future",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"harm_present",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"policy_support",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"trust_science",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",270,"weather_risk_prep",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"belief_concern",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"harm_future",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"harm_present",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"policy_support",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"politics",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"social_norms",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"trust_science",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",271,"weather_risk_prep",2,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",272,"belief_concern",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",272,"harm_future",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",272,"harm_present",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",272,"policy_support",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",272,"politics",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",272,"social_norms",1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
"0.01",272,"trust_science",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",272,"weather_risk_prep",1,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA
"0.01",273,"belief_concern",40,40,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA
