"predictor","beta","se","p","outcome"
"harm_present",0.402,0.03,0,"mitig4"
"weather_risk_prep",0.136,0.035,1e-04,"mitig4"
"social_norms",0.081,0.031,0.0096,"mitig4"
"harm_present",0.107,0.039,0.0065,"evacuate"
"weather_risk_prep",0.259,0.04,0,"evacuate"
"social_norms",0.088,0.033,0.0081,"evacuate"
"harm_present",0.141,0.035,0,"move"
"weather_risk_prep",0.111,0.039,0.0045,"move"
"social_norms",0.079,0.035,0.0233,"move"
