"stat","untruncated","truncated"
"min",0.561,0.621
"p25",0.813,0.813
"median",0.93,0.93
"mean",0.995,0.992
"p75",1.11,1.11
"max",2.855,1.915
"ess",809.6,815.3
"n_truncated",NA,18
