"scenario","belief_concern_mean","policy_support_mean","climate_behavior_mean"
"low_politics_baseline",-0.529829298881264,-0.45452195070369,-0.220484180985971
"low_politics_shift",-0.0298292988812638,-0.132369809714174,-0.0158722860963456
"high_politics_baseline",0.529829298881264,0.539465121045196,0.223235848610187
"high_politics_shift",1.02982929888126,0.941778146418479,0.430444492707554
