node,ate_baseline,ate_min,ate_max,range,n_specs
social_norms,0.05707268958172875,0,0.06336593401295038,0.06336593401295038,16
trust_science,0.03418629493029547,0,0.043700257456613385,0.043700257456613385,16
harm_present,0.19509216920542446,0.18696492034768097,0.2287297355248824,0.04176481517720143,16
policy_support,0.016197109274078195,0,0.016197109274078466,0.016197109274078466,16
belief_concern,0.20591026949349608,0.20127213977287306,0.20688129489808216,0.005609155125209098,16
weather_risk_prep,0.09278837020557869,0.09278837020557713,0.09737009269990378,0.0045817224943266455,16
