scenario,target_label,target_size,ate_climate_behavior
combo_2,belief_concern+weather_risk_prep+policy_support,3,0.254672457301989
combo_2,belief_concern+social_norms+trust_science,3,0.23379324974001936
combo_2,belief_concern+social_norms+policy_support,3,0.233626789916541
combo_2,belief_concern+trust_science+policy_support,3,0.21317686367967079
combo_2,harm_present+weather_risk_prep+social_norms,3,0.3089631912970023
combo_2,harm_present+weather_risk_prep+trust_science,3,0.28891965256604124
combo_2,harm_present+weather_risk_prep+policy_support,3,0.2445889575855821
combo_2,harm_present+social_norms+trust_science,3,0.2548566365034894
combo_2,harm_present+social_norms+policy_support,3,0.2542837891741019
combo_2,harm_present+trust_science+policy_support,3,0.23424025044314084
combo_2,weather_risk_prep+social_norms+trust_science,3,0.160403477409229
combo_2,weather_risk_prep+social_norms+policy_support,3,0.159933392730939
combo_2,weather_risk_prep+trust_science+policy_support,3,0.14002841964394103
combo_2,social_norms+trust_science+policy_support,3,0.06576876927195402
combo_3,belief_concern,1,0.19617601840921603
combo_3,harm_present,1,0.1829370642046501
combo_3,weather_risk_prep,1,0.08775233817559455
combo_3,social_norms,1,0.05805174521579483
combo_3,trust_science,1,0.03827328484391682
combo_3,policy_support,1,-0.007065242532043274
combo_3,belief_concern+harm_present,2,0.22859825833816788
combo_3,belief_concern+weather_risk_prep,2,0.2470572178257916
combo_3,belief_concern+social_norms,2,0.22588489267309492
combo_3,belief_concern+trust_science,2,0.20543504625860243
combo_3,belief_concern+policy_support,2,0.19756779851623782
combo_3,harm_present+weather_risk_prep,2,0.23761942583364953
combo_3,harm_present+social_norms,2,0.24745420986609665
combo_3,harm_present+trust_science,2,0.22741075167522273
combo_3,harm_present+policy_support,2,0.1843288443116719
combo_3,weather_risk_prep+social_norms,2,0.15289927116167093
combo_3,weather_risk_prep+trust_science,2,0.13299438105703532
combo_3,weather_risk_prep+policy_support,2,0.08914411828261636
combo_3,social_norms+trust_science,2,0.05854510486365845
combo_3,social_norms+policy_support,2,0.05944352532281659
combo_3,trust_science+policy_support,2,0.039665064950938585
combo_3,belief_concern+harm_present+weather_risk_prep,3,0.28022895125259184
combo_3,belief_concern+harm_present+social_norms,3,0.2661213540220471
combo_3,belief_concern+harm_present+trust_science,3,0.24585204270587574
combo_3,belief_concern+harm_present+policy_support,3,0.2360679946315561
combo_3,belief_concern+weather_risk_prep+social_norms,3,0.2843389842821774
combo_3,belief_concern+weather_risk_prep+trust_science,3,0.2639752706680249
combo_3,belief_concern+weather_risk_prep+policy_support,3,0.2545269541191798
combo_3,belief_concern+social_norms+trust_science,3,0.23352108769834437
combo_3,belief_concern+social_norms+policy_support,3,0.2333546289664831
combo_3,belief_concern+trust_science+policy_support,3,0.2129047825519906
combo_3,harm_present+weather_risk_prep+social_norms,3,0.3097094636876031
combo_3,harm_present+weather_risk_prep+trust_science,3,0.28966600549672916
combo_3,harm_present+weather_risk_prep+policy_support,3,0.24508916212703774
combo_3,harm_present+social_norms+trust_science,3,0.2554967931149647
combo_3,harm_present+social_norms+policy_support,3,0.2549239461594848
combo_3,harm_present+trust_science+policy_support,3,0.23488048796861094
combo_3,weather_risk_prep+social_norms+trust_science,3,0.16083909326928392
combo_3,weather_risk_prep+social_norms+policy_support,3,0.16036900745505914
combo_3,weather_risk_prep+trust_science+policy_support,3,0.14046411735042355
combo_3,social_norms+trust_science+policy_support,3,0.06601484115704662
combo_4,belief_concern,1,0.2070266949701339
combo_4,harm_present,1,0.2341625014567429
combo_4,weather_risk_prep,1,0.1003756544401849
combo_4,social_norms,1,0
combo_4,trust_science,1,0.0035363999535518225
combo_4,policy_support,1,0.002806634095631224
combo_4,belief_concern+harm_present,2,0.25101935367796735
combo_4,belief_concern+weather_risk_prep,2,0.2659906191605736
combo_4,belief_concern+social_norms,2,0.2070266949701339
combo_4,belief_concern+trust_science,2,0.21238270879196258
combo_4,belief_concern+policy_support,2,0.21287987647209788
combo_4,harm_present+weather_risk_prep,2,0.2972177026633632
combo_4,harm_present+social_norms,2,0.2341625014567429
combo_4,harm_present+trust_science,2,0.24001568295870687
combo_4,harm_present+policy_support,2,0.24001568295870687
combo_4,weather_risk_prep+social_norms,2,0.1003756544401849
combo_4,weather_risk_prep+trust_science,2,0.10839024468093802
combo_4,weather_risk_prep+policy_support,2,0.10779274148864824
combo_4,social_norms+trust_science,2,0.0035363999535518225
combo_4,social_norms+policy_support,2,0.002806634095631224
combo_4,trust_science+policy_support,2,0.009389581455515833
combo_4,belief_concern+harm_present+weather_risk_prep,3,0.2890756945949907
combo_4,belief_concern+harm_present+social_norms,3,0.25101935367796735
combo_4,belief_concern+harm_present+trust_science,3,0.2434766211152287
combo_4,belief_concern+harm_present+policy_support,3,0.2434766211152287
combo_4,belief_concern+weather_risk_prep+social_norms,3,0.2659906191605736
combo_4,belief_concern+weather_risk_prep+trust_science,3,0.25744155001533653
combo_4,belief_concern+weather_risk_prep+policy_support,3,0.2578486110922011
combo_4,belief_concern+social_norms+trust_science,3,0.21238270879196258
combo_4,belief_concern+social_norms+policy_support,3,0.21287987647209788
combo_4,belief_concern+trust_science+policy_support,3,0.20483997622922387
combo_4,harm_present+weather_risk_prep+social_norms,3,0.2972177026633632
combo_4,harm_present+weather_risk_prep+trust_science,3,0.2890756945949907
combo_4,harm_present+weather_risk_prep+policy_support,3,0.2890756945949907
combo_4,harm_present+social_norms+trust_science,3,0.24001568295870687
combo_4,harm_present+social_norms+policy_support,3,0.24001568295870687
combo_4,harm_present+trust_science+policy_support,3,0.23247295039596816
combo_4,weather_risk_prep+social_norms+trust_science,3,0.10839024468093802
combo_4,weather_risk_prep+social_norms+policy_support,3,0.10779274148864824
combo_4,weather_risk_prep+trust_science+policy_support,3,0.1002482366125655
combo_4,social_norms+trust_science+policy_support,3,0.009389581455515833
combo_5,belief_concern,1,0.2063734085504502
combo_5,harm_present,1,0.23464410394380672
combo_5,weather_risk_prep,1,0.10057399300748307
combo_5,social_norms,1,0
combo_5,trust_science,1,0.003536399953551971
combo_5,policy_support,1,0.002806634095631321
combo_5,belief_concern+harm_present,2,0.25161200916254906
combo_5,belief_concern+weather_risk_prep,2,0.2655631470835201
combo_5,belief_concern+social_norms,2,0.2063734085504502
combo_5,belief_concern+trust_science,2,0.2117294223722787
combo_5,belief_concern+policy_support,2,0.212226590052414
combo_5,harm_present+weather_risk_prep,2,0.2978103581479465
combo_5,harm_present+social_norms,2,0.23464410394380672
combo_5,harm_present+trust_science,2,0.24049728544577048
combo_5,harm_present+policy_support,2,0.24049728544577048
combo_5,weather_risk_prep+social_norms,2,0.10057399300748307
combo_5,weather_risk_prep+trust_science,2,0.10858858324823609
combo_5,weather_risk_prep+policy_support,2,0.10799108005594629
combo_5,social_norms+trust_science,2,0.003536399953551971
combo_5,social_norms+policy_support,2,0.002806634095631321
combo_5,trust_science+policy_support,2,0.009389581455515767
combo_5,belief_concern+harm_present+weather_risk_prep,3,0.2896683500795741
combo_5,belief_concern+harm_present+social_norms,3,0.25161200916254906
combo_5,belief_concern+harm_present+trust_science,3,0.24406927659981056
combo_5,belief_concern+harm_present+policy_support,3,0.24406927659981056
combo_5,belief_concern+weather_risk_prep+social_norms,3,0.2655631470835201
combo_5,belief_concern+weather_risk_prep+trust_science,3,0.25701407793828307
