"node","det_baseline","det_min","det_max","mc_baseline","mc_min","mc_max","diff_baseline","diff_min","diff_max"
"social_norms",0.0570726895817288,0,0.0633659340129504,0.0509624754580355,0,0.0580517452157948,0.0061,0,0.0053
"trust_science",0.0341862949302955,0,0.0437002574566134,0.029345525027996,0.00353639995355182,0.0382732848439168,0.0048,-0.0035,0.0054
"harm_present",0.195092169205424,0.186964920347681,0.228729735524882,0.191634794891078,0.182542973510837,0.238478241474996,0.0035,0.0044,-0.0097
"policy_support",0.0161971092740782,0,0.0161971092740785,0.0107095792854134,-0.00706524525986424,0.0108206198035558,0.0055,0.0071,0.0054
"belief_concern",0.205910269493496,0.201272139772873,0.206881294898082,0.202131199583212,0.195407358920561,0.212483437326669,0.0038,0.0059,-0.0056
"weather_risk_prep",0.0927883702055787,0.0927883702055771,0.0973700926999038,0.0874440189559572,0.0871867365470042,0.106409293731336,0.0053,0.0056,-0.009
