"node","ate_baseline","ate_min","ate_max","range","n_specs"
"weather_risk_prep",0.0930759991784261,0.0930759991784261,0.194764049192968,0.101688050014542,12
"harm_present",0.186965335962417,0.147100370262274,0.228729735524882,0.0816293652626088,12
"social_norms",0.0633652634284836,0,0.0635776709539534,0.0635776709539534,12
"belief_concern",0.201272438461644,0.141859308616995,0.20279950998222,0.0609402013652251,12
"trust_science",0.0436997792836055,0,0.0438462728470076,0.0438462728470076,12
"policy_support",0,0,0,0,12
