"target_label","target_size","ate_baseline","ate_min","ate_max","range","n_specs"
"harm_present+weather_risk_prep+social_norms",3,0.303779840171773,0.284644881818059,0.304065588416399,0.0194207065983398,12
"harm_present+weather_risk_prep+trust_science",3,0.284114356026894,0.284114018066893,0.284892805924979,0.000778787858086105,12
"belief_concern+weather_risk_prep+social_norms",3,0.279453180075773,0.253724418902522,0.292395090846945,0.0386706719444231,12
"belief_concern+harm_present+weather_risk_prep",3,0.275076750098865,0.275076750098865,0.284892805924979,0.00981605582611395,12
"belief_concern+harm_future+weather_risk_prep",3,0.265725370172493,0.252248847822588,0.281662950936357,0.0294141031137688,12
"belief_concern+harm_present+social_norms",3,0.260844851782156,0.187119938302242,0.260844851782156,0.073724913479914,12
"belief_concern+weather_risk_prep+trust_science",3,0.259787695930894,0.253724418902522,0.27272957564808,0.0190051567455578,12
"harm_present+harm_future+weather_risk_prep",3,0.250835121293451,0.250834420747382,0.284892805924979,0.0340583851775971,12
"belief_concern+weather_risk_prep",2,0.250750090002866,0.250749787478896,0.270174125699338,0.0194243382204425,12
"belief_concern+weather_risk_prep+policy_support",3,0.250750090002866,0.250749787478896,0.270174125699338,0.0194243382204425,12
"harm_present+harm_future+social_norms",3,0.250330599390901,0.187119938302242,0.250330599390901,0.0632106610886589,12
"harm_present+social_norms",2,0.250330599390901,0.187119938302242,0.250330599390901,0.0632106610886589,12
"harm_present+social_norms+policy_support",3,0.250330599390901,0.187119938302242,0.250330599390901,0.0632106610886589,12
"harm_present+social_norms+trust_science",3,0.250330599390901,0.187119938302242,0.250330599390901,0.0632106610886589,12
"harm_future+weather_risk_prep+social_norms",3,0.250120842051556,0.0973700926999038,0.280513358142314,0.18314326544241,12
"belief_concern+harm_future+social_norms",3,0.247076203931622,0.141859308616995,0.247076203931622,0.105216895314626,12
"belief_concern+harm_present+trust_science",3,0.241179367637278,0.187119938302242,0.241179367637278,0.0540594293350358,12
"harm_present+weather_risk_prep",2,0.240414576743289,0.240414576743289,0.284892805924979,0.0444782291816906,12
"harm_present+weather_risk_prep+policy_support",3,0.240414576743289,0.240414576743289,0.284892805924979,0.0444782291816906,12
"belief_concern+harm_present+harm_future",3,0.233640804824381,0.183382804557783,0.239729061656034,0.0563462570982503,12
"belief_concern+harm_present",2,0.232141761709249,0.181878732655526,0.239729061656034,0.0578503290005077,12
