"spec","cfi","tli","rmsea","srmr","aic","bic"
"baseline (HF->HP)",0.979,0.963,0.086,0.039,-4790,-4670.8
"reversed (HP->HF)",0.979,0.963,0.086,0.039,-4790,-4670.8
