"alpha","adjacency_pct_HFview","adjacency_pct_HPview","arrow_at_HF","arrow_at_HP","tail_at_HF","tail_at_HP","circle_at_HF","circle_at_HP","asymmetry_HP_minus_HF"
"0.05",100,100,0.573,0.466,0.294,0.472,0.132,0.062,-0.108
"0.01",100,100,0.428,0.689,0.271,0.18,0.301,0.131,0.261
