"node","ate_baseline","ate_min","ate_max","range","n_specs"
"social_norms",0.0480767988503075,0,0.0505817922495525,0.0505817922495525,16
"harm_present",0.21570451595392,0.210163996922986,0.228729735524878,0.0185657386018925,16
"trust_science",0.011521528587933,0,0.0147372095874606,0.0147372095874606,16
"policy_support",0.00769911405894921,0,0.00769911405894921,0.00769911405894921,16
"weather_risk_prep",0.0920957832190159,0.0920957832190159,0.0973700926999042,0.00527430948088832,16
"belief_concern",0.202214082007973,0.19756747942131,0.202675648032963,0.00510816861165297,16
